Reference, Value, Footprint, Datasheet, P
R25,300,Resistors_SMD:R_0603_HandSoldering,,
R29,300,Resistors_SMD:R_0603_HandSoldering,,
C14,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C15,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C16,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C17,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C19,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C20,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C21,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C22,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C24,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C25,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C27,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C32,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C36,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C39,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C41,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
C44,.01u,Capacitors_SMD:C_0603_HandSoldering,,VJ0603Y103KXAAC
L13,.33u,Resistors_SMD:R_0603,,74479762133
L14,.33u,Resistors_SMD:R_0603,,74479762133
L15,.33u,Resistors_SMD:R_0603,,74479762133
L16,.33u,Resistors_SMD:R_0603,,74479762133
L17,.33u,Resistors_SMD:R_0603,,74479762133
L5,.33u,Resistors_SMD:R_0603,,74479762133
L6,.33u,Resistors_SMD:R_0603,,74479762133
L7,.33u,Resistors_SMD:R_0603,,74479762133
L8,.33u,Resistors_SMD:R_0603,,74479762133
L9,.33u,Resistors_SMD:R_0603,,74479762133
C3,.5p,Capacitors_SMD:C_0603_HandSoldering,,
C5,.5p,Capacitors_SMD:C_0603_HandSoldering,,
C8,.5p,Capacitors_SMD:C_0603_HandSoldering,,
L1,100n,Resistors_SMD:R_0603,,LQW18ANR10G00D
L18,100n,Resistors_SMD:R_0603,,LQW18ANR10G00D
L19,100n,Resistors_SMD:R_0603,,LQW18ANR10G00D
L4,100n,Resistors_SMD:R_0603,,LQW18ANR10G00D
L11,100n,Resistors_SMD:R_0603,,
R18,10K,Resistors_SMD:R_0603_HandSoldering,,
R19,10K,Resistors_SMD:R_0603_HandSoldering,,
R20,10K,Resistors_SMD:R_0603_HandSoldering,,
R23,10K,Resistors_SMD:R_0603_HandSoldering,,
R24,10K,Resistors_SMD:R_0603_HandSoldering,,
R2,121R,Resistors_SMD:R_0603_HandSoldering,,
R9,121R,Resistors_SMD:R_0603_HandSoldering,,
C34,12p,Capacitors_SMD:C_0603_HandSoldering,,
C37,12p,Capacitors_SMD:C_0603_HandSoldering,,
C4,12p,Capacitors_SMD:C_0603_HandSoldering,,
C7,12p,Capacitors_SMD:C_0603_HandSoldering,,
C11,15p,Capacitors_SMD:C_0603_HandSoldering,,
C26,15p,Capacitors_SMD:C_0603_HandSoldering,,
C28,15p,Capacitors_SMD:C_0603_HandSoldering,,
C30,15p,Capacitors_SMD:C_0603_HandSoldering,,
R13,1K,Resistors_SMD:R_0603_HandSoldering,,
R14,1K,Resistors_SMD:R_0603_HandSoldering,,
R16,1K,Resistors_SMD:R_0603_HandSoldering,,
R17,1K,Resistors_SMD:R_0603_HandSoldering,,
R21,1k,Resistors_SMD:R_0603_HandSoldering,,
R22,1K,Resistors_SMD:R_0603_HandSoldering,,
R5,1K,Resistors_SMD:R_0603_HandSoldering,,
C35,1p,Capacitors_SMD:C_0603_HandSoldering,,
C6,1p,Capacitors_SMD:C_0603_HandSoldering,,
R6,2.2R,Resistors_SMD:R_0603_HandSoldering,,
C1,2.7p,Capacitors_SMD:C_0603_HandSoldering,,
C10,2.7p,Capacitors_SMD:C_0603_HandSoldering,,
R27,20k,Resistors_SMD:R_0603_HandSoldering,,
R31,20k,Resistors_SMD:R_0603_HandSoldering,,
R7,22R,Resistors_SMD:R_0603_HandSoldering,,
C47,22u,Capacitors_SMD:C_1206,,
C48,22u,Capacitors_SMD:C_1206,,
C49,22u,Capacitors_SMD:C_1206,,
Q1,2n5109,Discret:TO39EBC,,
R4,3.3k,Resistors_SMD:R_0603_HandSoldering,,
